index,0,1,2,3,4,5
4/15/2017 0:00,8,5,4,11,15,2
4/15/2017 0:15,1,5,3,8,20,0
4/15/2017 0:30,2,5,6,9,14,0
4/15/2017 0:45,3,3,4,2,13,0
4/15/2017 1:00,7,4,3,6,11,0
4/15/2017 1:15,7,0,1,3,3,1
4/15/2017 1:30,4,1,1,5,7,1
4/15/2017 1:45,2,3,0,2,4,0
4/15/2017 2:00,3,0,1,4,6,0
4/15/2017 2:15,0,1,0,2,3,0
4/15/2017 2:30,2,4,1,1,2,0
4/15/2017 2:45,1,2,0,3,3,0
4/15/2017 3:00,2,2,0,1,6,0
4/15/2017 3:15,3,1,0,1,7,0
4/15/2017 3:30,2,1,0,2,3,0
4/15/2017 3:45,3,1,2,0,3,0
4/15/2017 4:00,1,0,0,0,2,0
4/15/2017 4:15,1,0,0,0,2,0
4/15/2017 4:30,0,1,1,1,1,0
4/15/2017 4:45,0,0,0,1,1,0
4/15/2017 5:00,0,0,1,0,0,0
4/15/2017 5:15,1,0,1,2,2,0
4/15/2017 5:30,1,2,1,2,1,0
4/15/2017 5:45,0,1,2,0,4,0
4/15/2017 6:00,0,2,1,0,3,1
4/15/2017 6:15,3,2,1,3,0,0
4/15/2017 6:30,3,2,1,2,4,1
4/15/2017 6:45,1,2,0,2,2,0
4/15/2017 7:00,3,5,2,2,6,0
4/15/2017 7:15,3,4,2,4,8,0
4/15/2017 7:30,1,1,2,6,6,0
4/15/2017 7:45,4,4,2,3,13,3
4/15/2017 8:00,4,6,3,2,13,0
4/15/2017 8:15,3,6,5,10,17,1
4/15/2017 8:30,6,7,9,12,16,0
4/15/2017 8:45,9,10,3,10,18,2
4/15/2017 9:00,3,11,15,8,15,2
4/15/2017 9:15,9,8,12,15,29,2
4/15/2017 9:30,17,18,19,5,32,4
4/15/2017 9:45,20,6,17,14,37,8
4/15/2017 10:00,16,15,26,19,38,6
4/15/2017 10:15,25,28,21,16,57,11
4/15/2017 10:30,25,28,16,29,79,5
4/15/2017 10:45,27,37,25,26,61,8
4/15/2017 11:00,24,31,20,30,60,6
4/15/2017 11:15,19,44,32,49,77,4
4/15/2017 11:30,19,48,40,40,69,4
4/15/2017 11:45,22,53,44,44,84,7
4/15/2017 12:00,35,52,42,42,96,5
4/15/2017 12:15,44,47,24,29,97,6
4/15/2017 12:30,33,55,22,70,96,12
4/15/2017 12:45,40,72,35,42,91,9
4/15/2017 13:00,29,71,38,49,116,6
4/15/2017 13:15,56,61,34,49,94,12
4/15/2017 13:30,28,85,40,57,93,9
4/15/2017 13:45,43,79,50,50,125,13
4/15/2017 14:00,44,94,48,63,99,17
4/15/2017 14:15,34,76,48,41,107,17
4/15/2017 14:30,48,68,46,63,99,11
4/15/2017 14:45,48,70,46,67,95,21
4/15/2017 15:00,55,81,49,59,111,5
